timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674561176098,4466,About Us,200,OK,BGCA Thread Group 1-3,text,false,"The operation lasted too long: It took 4,466 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96339,422,4,4,https://www.bgca.org/about-us,4192,0,0
1674561166623,14227,BGCA home page,200,OK,BGCA Thread Group 1-2,text,false,"The operation lasted too long: It took 14,227 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,3,3,https://www.bgca.org/,13697,0,1833
1674561166595,14405,BGCA home page,200,OK,BGCA Thread Group 1-1,text,false,"The operation lasted too long: It took 14,405 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,3,3,https://www.bgca.org/,13659,0,1779
1674561167024,14059,BGCA home page,200,OK,BGCA Thread Group 1-5,text,false,"The operation lasted too long: It took 14,059 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,3,3,https://www.bgca.org/,13287,0,1357
1674561180879,1206,About Us,200,OK,BGCA Thread Group 1-2,text,true,,96339,422,3,3,https://www.bgca.org/about-us,884,0,0
1674561181024,1078,About Us,200,OK,BGCA Thread Group 1-1,text,true,,96339,422,3,3,https://www.bgca.org/about-us,760,0,0
1674561181104,1251,About Us,200,OK,BGCA Thread Group 1-5,text,true,,96339,422,1,1,https://www.bgca.org/about-us,997,0,0
1674561613763,2405,BGCA home page,200,OK,BGCA Thread Group 1-7,text,true,,96075,114,15,15,https://www.bgca.org/,1925,0,987
1674561613477,3060,BGCA home page,200,OK,BGCA Thread Group 1-5,text,false,"The operation lasted too long: It took 3,060 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,2537,0,1267
1674561614037,2617,BGCA home page,200,OK,BGCA Thread Group 1-9,text,true,,96075,114,15,15,https://www.bgca.org/,2082,0,796
1674561613214,3350,BGCA home page,200,OK,BGCA Thread Group 1-3,text,false,"The operation lasted too long: It took 3,350 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,2805,0,1556
1674561613048,3747,BGCA home page,200,OK,BGCA Thread Group 1-1,text,false,"The operation lasted too long: It took 3,747 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,2965,0,1732
1674561613614,3207,BGCA home page,200,OK,BGCA Thread Group 1-6,text,false,"The operation lasted too long: It took 3,207 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,2413,0,1138
1674561613878,2997,BGCA home page,200,OK,BGCA Thread Group 1-8,text,false,"The operation lasted too long: It took 2,997 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,2159,0,890
1674561613345,3561,BGCA home page,200,OK,BGCA Thread Group 1-4,text,false,"The operation lasted too long: It took 3,561 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,2761,0,1405
1674561614415,2728,BGCA home page,200,OK,BGCA Thread Group 1-12,text,false,"The operation lasted too long: It took 2,728 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,1982,0,776
1674561614170,2970,BGCA home page,200,OK,BGCA Thread Group 1-10,text,false,"The operation lasted too long: It took 2,970 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,2196,0,887
1674561613076,4078,BGCA home page,200,OK,BGCA Thread Group 1-2,text,false,"The operation lasted too long: It took 4,078 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,3283,0,1705
1674561614277,3210,BGCA home page,200,OK,BGCA Thread Group 1-11,text,false,"The operation lasted too long: It took 3,210 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,2421,0,784
1674561614538,3029,BGCA home page,200,OK,BGCA Thread Group 1-13,text,false,"The operation lasted too long: It took 3,029 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,2515,0,831
1674561614803,2926,BGCA home page,200,OK,BGCA Thread Group 1-15,text,false,"The operation lasted too long: It took 2,926 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,15,15,https://www.bgca.org/,2409,0,813
1674561616820,1439,About Us,200,OK,BGCA Thread Group 1-1,text,true,,96339,422,15,15,https://www.bgca.org/about-us,1183,0,0
1674561616845,1461,About Us,200,OK,BGCA Thread Group 1-6,text,true,,96339,422,14,14,https://www.bgca.org/about-us,1197,0,0
1674561614674,3632,BGCA home page,200,OK,BGCA Thread Group 1-14,text,false,"The operation lasted too long: It took 3,632 milliseconds, but should not have lasted longer than 2,700 milliseconds.",96075,114,14,14,https://www.bgca.org/,3030,0,812
1674561616705,1709,About Us,200,OK,BGCA Thread Group 1-3,text,true,,96339,422,13,13,https://www.bgca.org/about-us,1458,0,0
1674561616379,2153,About Us,200,OK,BGCA Thread Group 1-7,text,true,,96339,422,12,12,https://www.bgca.org/about-us,1894,0,0
1674561616692,1979,About Us,200,OK,BGCA Thread Group 1-5,text,true,,96339,422,11,11,https://www.bgca.org/about-us,1697,0,0
1674561616702,2058,About Us,200,OK,BGCA Thread Group 1-9,text,true,,96339,422,10,10,https://www.bgca.org/about-us,1811,0,0
1674561617175,1800,About Us,200,OK,BGCA Thread Group 1-10,text,true,,96339,422,9,9,https://www.bgca.org/about-us,1486,0,0
1674561617173,1889,About Us,200,OK,BGCA Thread Group 1-12,text,true,,96339,422,8,8,https://www.bgca.org/about-us,1629,0,0
1674561617186,1932,About Us,200,OK,BGCA Thread Group 1-2,text,true,,96339,422,7,7,https://www.bgca.org/about-us,1679,0,0
1674561617750,1394,About Us,200,OK,BGCA Thread Group 1-15,text,true,,96339,422,6,6,https://www.bgca.org/about-us,1349,0,0
1674561616917,2261,About Us,200,OK,BGCA Thread Group 1-8,text,true,,96339,422,5,5,https://www.bgca.org/about-us,1994,0,0
1674561616930,2447,About Us,200,OK,BGCA Thread Group 1-4,text,true,,96339,422,4,4,https://www.bgca.org/about-us,2165,0,0
1674561617583,2029,About Us,200,OK,BGCA Thread Group 1-13,text,true,,96339,422,3,3,https://www.bgca.org/about-us,1780,0,0
1674561618348,1461,About Us,200,OK,BGCA Thread Group 1-14,text,true,,96339,422,2,2,https://www.bgca.org/about-us,1209,0,0
1674561617506,2320,About Us,200,OK,BGCA Thread Group 1-11,text,true,,96339,422,2,2,https://www.bgca.org/about-us,2066,0,0
